ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALTHM,AVERAGETHM
92304,1,2017,Gas- Commercial,Y,0,0,NA
92304,2,2017,Gas- Commercial,Y,0,0,NA
92304,3,2017,Gas- Commercial,Y,0,0,NA
92365,1,2017,Gas- Commercial,Y,0,0,NA
92365,2,2017,Gas- Commercial,Y,0,0,NA
92365,3,2017,Gas- Commercial,Y,0,0,NA
93203,1,2017,Gas- Commercial,Y,0,0,NA
93203,2,2017,Gas- Commercial,Y,0,0,NA
93203,3,2017,Gas- Commercial,Y,0,0,NA
93204,1,2017,Gas- Commercial,Y,0,0,NA
93204,2,2017,Gas- Commercial,Y,0,0,NA
93204,3,2017,Gas- Commercial,Y,0,0,NA
93210,1,2017,Gas- Commercial,Y,0,0,NA
93210,2,2017,Gas- Commercial,Y,0,0,NA
93210,3,2017,Gas- Commercial,Y,0,0,NA
93224,1,2017,Gas- Commercial,Y,0,0,NA
93224,2,2017,Gas- Commercial,Y,0,0,NA
93224,3,2017,Gas- Commercial,Y,0,0,NA
93234,1,2017,Gas- Commercial,Y,0,0,NA
93234,2,2017,Gas- Commercial,Y,0,0,NA
93234,3,2017,Gas- Commercial,Y,0,0,NA
93239,1,2017,Gas- Commercial,Y,0,0,NA
93239,2,2017,Gas- Commercial,Y,0,0,NA
93239,3,2017,Gas- Commercial,Y,0,0,NA
93252,1,2017,Gas- Commercial,Y,0,0,NA
93252,2,2017,Gas- Commercial,Y,0,0,NA
93252,3,2017,Gas- Commercial,Y,0,0,NA
93263,1,2017,Gas- Commercial,Y,0,0,NA
93263,2,2017,Gas- Commercial,Y,0,0,NA
93263,3,2017,Gas- Commercial,Y,0,0,NA
93268,1,2017,Gas- Commercial,Y,265,48606,183
93268,2,2017,Gas- Commercial,Y,264,30433,115
93268,3,2017,Gas- Commercial,Y,264,25786,98
93280,1,2017,Gas- Commercial,Y,0,0,NA
93280,2,2017,Gas- Commercial,Y,0,0,NA
93280,3,2017,Gas- Commercial,Y,0,0,NA
93301,1,2017,Gas- Commercial,N,1159,321229,277
93301,2,2017,Gas- Commercial,N,1159,201964,174
93301,3,2017,Gas- Commercial,N,1155,173088,150
93304,1,2017,Gas- Commercial,N,618,148297,240
93304,2,2017,Gas- Commercial,N,620,101902,164
93304,3,2017,Gas- Commercial,Y,0,0,NA
93305,1,2017,Gas- Commercial,N,506,141284,279
93305,2,2017,Gas- Commercial,N,506,89482,177
93305,3,2017,Gas- Commercial,N,507,78431,155
93306,1,2017,Gas- Commercial,N,368,143965,391
93306,2,2017,Gas- Commercial,N,369,103633,281
93306,3,2017,Gas- Commercial,N,370,98620,267
93307,1,2017,Gas- Commercial,Y,650,230768,355
93307,2,2017,Gas- Commercial,Y,1184,291353,246
93307,3,2017,Gas- Commercial,Y,1806,360608,200
93308,1,2017,Gas- Commercial,Y,512,139551,273
93308,2,2017,Gas- Commercial,Y,510,90756,178
93308,3,2017,Gas- Commercial,Y,515,82177,160
93309,1,2017,Gas- Commercial,N,396,131221,331
93309,2,2017,Gas- Commercial,Y,437,102678,235
93309,3,2017,Gas- Commercial,Y,435,101259,233
93311,1,2017,Gas- Commercial,Y,0,0,NA
93311,2,2017,Gas- Commercial,Y,0,0,NA
93311,3,2017,Gas- Commercial,Y,0,0,NA
93313,1,2017,Gas- Commercial,Y,572,215890,377
93313,2,2017,Gas- Commercial,Y,0,0,NA
93313,3,2017,Gas- Commercial,Y,0,0,NA
93314,1,2017,Gas- Commercial,Y,0,0,NA
93314,2,2017,Gas- Commercial,Y,0,0,NA
93314,3,2017,Gas- Commercial,Y,0,0,NA
93432,1,2017,Gas- Commercial,Y,0,0,NA
93432,2,2017,Gas- Commercial,Y,0,0,NA
93432,3,2017,Gas- Commercial,Y,0,0,NA
93446,1,2017,Gas- Commercial,Y,0,0,NA
93446,2,2017,Gas- Commercial,Y,0,0,NA
93446,3,2017,Gas- Commercial,Y,0,0,NA
93450,1,2017,Gas- Commercial,Y,0,0,NA
93450,2,2017,Gas- Commercial,Y,0,0,NA
93450,3,2017,Gas- Commercial,Y,0,0,NA
93461,1,2017,Gas- Commercial,Y,0,0,NA
93461,2,2017,Gas- Commercial,Y,0,0,NA
93461,3,2017,Gas- Commercial,Y,0,0,NA
93516,1,2017,Gas- Commercial,Y,0,0,NA
93516,2,2017,Gas- Commercial,Y,0,0,NA
93516,3,2017,Gas- Commercial,Y,0,0,NA
93523,1,2017,Gas- Commercial,Y,0,0,NA
93523,2,2017,Gas- Commercial,Y,0,0,NA
93523,3,2017,Gas- Commercial,Y,0,0,NA
93555,1,2017,Gas- Commercial,Y,624,213327,342
93555,2,2017,Gas- Commercial,Y,623,125466,201
93555,3,2017,Gas- Commercial,Y,617,95513,155
93561,1,2017,Gas- Commercial,Y,0,0,NA
93561,2,2017,Gas- Commercial,Y,0,0,NA
93561,3,2017,Gas- Commercial,Y,0,0,NA
93562,1,2017,Gas- Commercial,Y,0,0,NA
93562,2,2017,Gas- Commercial,Y,0,0,NA
93562,3,2017,Gas- Commercial,Y,0,0,NA
93608,1,2017,Gas- Commercial,Y,0,0,NA
93608,2,2017,Gas- Commercial,Y,0,0,NA
93608,3,2017,Gas- Commercial,Y,0,0,NA
93610,1,2017,Gas- Commercial,N,194,57510,296
93610,2,2017,Gas- Commercial,N,194,36598,189
93610,3,2017,Gas- Commercial,Y,0,0,NA
93611,1,2017,Gas- Commercial,Y,0,0,NA
93611,2,2017,Gas- Commercial,Y,0,0,NA
93611,3,2017,Gas- Commercial,Y,0,0,NA
93612,1,2017,Gas- Commercial,Y,1358,478620,352
93612,2,2017,Gas- Commercial,Y,1368,315315,230
93612,3,2017,Gas- Commercial,Y,1368,266679,195
93616,1,2017,Gas- Commercial,Y,0,0,NA
93616,2,2017,Gas- Commercial,Y,0,0,NA
93616,3,2017,Gas- Commercial,Y,0,0,NA
93619,1,2017,Gas- Commercial,Y,0,0,NA
93619,2,2017,Gas- Commercial,Y,0,0,NA
93619,3,2017,Gas- Commercial,Y,0,0,NA
93620,1,2017,Gas- Commercial,Y,0,0,NA
93620,2,2017,Gas- Commercial,Y,0,0,NA
93620,3,2017,Gas- Commercial,Y,0,0,NA
93622,1,2017,Gas- Commercial,Y,0,0,NA
93622,2,2017,Gas- Commercial,Y,0,0,NA
93622,3,2017,Gas- Commercial,Y,0,0,NA
93625,1,2017,Gas- Commercial,Y,0,0,NA
93625,2,2017,Gas- Commercial,Y,0,0,NA
93625,3,2017,Gas- Commercial,Y,0,0,NA
93627,1,2017,Gas- Commercial,Y,0,0,NA
93627,2,2017,Gas- Commercial,Y,0,0,NA
